,Номер,Дата,Сума,Клиент,Падеж,Статус
0,0000000681,03.06.2026,3800.16 EUR,РОДОПЕЯ - БЕЛЕВ - ЕООД Г-РОЯЛ ЕООД,31.07.2026,Платена
1,0000000682,03.06.2026,3300.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,04.07.2026,Платена
2,1000000517,03.06.2026,1500.00EUR EUR,PERFEKT LOGISTYKA POLSKA S. Z O. O. Г-РОЯЛ ЕООД,20.07.2026,Платена
3,0000000684,04.06.2026,1656.00 EUR,ЕЛ БИ БУЛГАРИКУМ - ЕАД Г-РОЯЛ ЕООД,-,Неплатена
4,1000000518,04.06.2026,5100.00EUR EUR,Milchproduktenhandel Oberland eG Г-РОЯЛ ЕООД,04.07.2026,Платена
5,1000000519,05.06.2026,2155.16EUR EUR,FOOD & DAIRY MAGYARORSZAG Г-РОЯЛ ЕООД,05.07.2026,Платена
6,1000000520,08.06.2026,3500.00EUR EUR,HOOGWEGT MILK B.V. Г-РОЯЛ ЕООД,08.07.2026,Платена
7,1000000521,08.06.2026,2230.20EUR EUR,FOOD & DAIRY MAGYARORSZAG Г-РОЯЛ ЕООД,09.07.2026,Платена
8,1000000522,09.06.2026,2300.00EUR EUR,MILKIMPEX KFT Г-РОЯЛ ЕООД,22.06.2026,Платена
9,0000000685,11.06.2026,600.00 EUR,НЕКСТ ЛОДЖИСТИКС - ЕООД Г-РОЯЛ ЕООД,25.06.2026,Платена
10,0000000686,11.06.2026,1980.00 EUR,НЕКСТ ЛОДЖИСТИКС - ЕООД Г-РОЯЛ ЕООД,25.06.2026,Платена
11,1000000523,11.06.2026,2700.00EUR EUR,FREIGHT FORWARD EUROPE Г-РОЯЛ ЕООД,14.07.2026,Платена
12,0200000024,12.06.2026,"46290,00 EUR EUR",TIR-BAGES.S.L. Г-РОЯЛ ЕООД,29.07.2026,Платена
13,1000000524,12.06.2026,1503.60EUR EUR,FREIGHT FORWARD EUROPE Г-РОЯЛ ЕООД,21.07.2026,Платена
14,0000000687,15.06.2026,3360.00 EUR,АВЕ БЪЛГАРИЯ ЛОГИСТИК - ООД Г-РОЯЛ ЕООД,17.07.2026,Платена
15,1000000526,15.06.2026,2314.20EUR EUR,FOOD & DAIRY MAGYARORSZAG Г-РОЯЛ ЕООД,15.07.2026,Платена
16,0000000688,17.06.2026,3360.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,17.07.2026,Платена
17,0000000689,17.06.2026,420.00 EUR,ИВАН - М - ООД Г-РОЯЛ ЕООД,23.06.2026,Платена
18,1000000527,17.06.2026,2300.00EUR EUR,HOOGWEGT MILK B.V. Г-РОЯЛ ЕООД,18.07.2026,Платена
19,1000000528,18.06.2026,6800.00EUR EUR,HOOGWEGT MILK B.V. Г-РОЯЛ ЕООД,23.07.2026,Платена
20,0000000690,23.06.2026,3192.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,25.07.2026,Неплатена
21,0000000691,23.06.2026,5580.00 EUR,Карас Логистикс - ЕООД Г-РОЯЛ ЕООД,06.08.2026,Неплатена
22,1000000530,23.06.2026,1000.00EUR EUR,HOOGWEGT MILK B.V. Г-РОЯЛ ЕООД,23.07.2026,Платена
23,1000000531,25.06.2026,2100.00EUR EUR,FREIGHT FORWARD EUROPE Г-РОЯЛ ЕООД,28.07.2026,Платена
24,1000000532,25.06.2026,"2259,90 EUR EUR",FOOD & DAIRY MAGYARORSZAG Г-РОЯЛ ЕООД,30.07.2026,Неплатена
25,1000000533,25.06.2026,"700,00 EUR EUR",FOOD & DAIRY MAGYARORSZAG Г-РОЯЛ ЕООД,-,Неплатена
26,0000000693,29.06.2026,3059.28 EUR,Карас Логистикс - ЕООД Г-РОЯЛ ЕООД,07.08.2026,Неплатена
27,0000000694,29.06.2026,3720.00 EUR,ЕЙ ПИ КОНСУЛТ - ООД Г-РОЯЛ ЕООД,30.07.2026,Платена
28,0000000695,29.06.2026,3120.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,30.07.2026,Неплатена
29,1000000534,29.06.2026,7100.00EUR EUR,HOOGWEGT MILK B.V. Г-РОЯЛ ЕООД,30.07.2026,Неплатена
30,1000000535,29.06.2026,6400.00EUR EUR,Milchproduktenhandel Oberland eG Г-РОЯЛ ЕООД,29.07.2026,Платена
31,0000000696,30.06.2026,3120.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,30.07.2026,Неплатена
32,1000000538,07.07.2026,Не е намерена,MILKIMPEX KFT G-Royal Ltd,21.07.2026,Платена
33,0000000716,24.07.2026,3104.51 EUR,Карас Логистикс - ЕООД Г-РОЯЛ ЕООД,-,Неплатена
34,0000000717,24.07.2026,3120.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,-,Неплатена
35,0000000718,29.07.2026,3120.00 EUR,Милки Груп Био - ЕАД Г-РОЯЛ ЕООД,30.08.2026,Неплатена
36,1000000549,30.07.2026,3230.74EUR,FREIGHT FORWARD EUROPE G-ROYAL Ltd.,01.09.2026,Неплатена
37,0000000719,31.07.2026,2875.32 EUR,Карас Логистикс - ЕООД Г-РОЯЛ ЕООД,-,Неплатена
38,1000000550,31.07.2026,0% EUR,HOOGWEGT MILK B.V. G-ROYAL Ltd,31.07.2026,Неплатена
